[     662ms] [WARNING] The PerformanceObserver does not support buffered flag with the entryTypes argument. @ https://www.gstatic.com/_/mss/boq-cloud-client/_/js/k=boq-cloud-client.CloudConsoleWeb.en_US.HoG93NFheN0.es5.O/am=AAAAAAAcAAAAAAAAWA/d=1/excm=core/ed=1/wt=2/ujg=1/rs=AJ563L-0Ak6s1gRKD2_cLj0J2czfdTu79w/dti=1/m=core:1188
[     810ms] [ERROR] Failed to load resource: net::ERR_UNSAFE_REDIRECT @ https://www.googletagmanager.com/gtm.js?id=GTM-5CVQBG&l=gtmDataLayer:0
[     902ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/mss/boq-cloud-client/_/js/k=boq-cloud-client.CloudConsoleWeb.en_US.HoG93NFheN0.es5.O/am=AAAAAAAcAAAAAAAAWA/d=1/excm=core/ed=1/wt=2/ujg=1/rs=AJ563L-0Ak6s1gRKD2_cLj0J2czfdTu79w/dti=1/m=core:3891
[     929ms] [WARNING] A preload for 'https://www.gstatic.com/_/mss/boq-cloud-client/_/js/md=1/k=boq-cloud-client.BillingMicroUi.en_US.yBXAjn5-rso.es6.O/ck=boq-cloud-client.BillingMicroUi.Jozr-0kW24Y.L.W.O/am=AAAAADgAACA/rs=AJ563L-OiynphsWVXAprUx8cpGldIZ4BRw' is found, but is not used because the request credentials mode does not match. Consider taking a look at crossorigin attribute. @ https://www.gstatic.com/_/mss/boq-cloud-client/_/js/k=boq-cloud-client.CloudConsoleWeb.en_US.HoG93NFheN0.es5.O/am=AAAAAAAcAAAAAAAAWA/d=1/excm=core/ed=1/wt=2/ujg=1/rs=AJ563L-0Ak6s1gRKD2_cLj0J2czfdTu79w/dti=1/m=core:342
[     978ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/CONSOLE_NAV_UNLOCKED?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[     979ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/PAN_CORE_ACCESSIBILITY_KEYBOARD_SHORTCUTS?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    1214ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/GROWTH_TARGETED_FEATURE_HISTORY/keys/console_search_product_summaries_callout?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    1214ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/PIPELINES_AND_CONNECTIONS_OPT_IN?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    2323ms] [ERROR] ERROR ErrorResponse @ https://www.gstatic.com/_/mss/boq-cloud-client/_/js/k=boq-cloud-client.CloudConsoleWeb.en_US.HoG93NFheN0.es5.O/am=AAAAAAAcAAAAAAAAWA/d=1/excm=core/ed=1/wt=2/ujg=1/rs=AJ563L-0Ak6s1gRKD2_cLj0J2czfdTu79w/dti=1/m=core:2032
[    2346ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/GROWTH_TARGETED_FEATURE_HISTORY/keys/survey_billing_site?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    2672ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/GROWTH_TARGETED_FEATURE_HISTORY?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    2672ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/MFA_COHORT_DIALOG_SETTINGS?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    2684ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/GROWTH_TARGETED_FEATURE_HISTORY?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    2714ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/COE_NU_FIRST_CHARGE_BANNER_DISMISSALS?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    2736ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/GROWTH_TARGETED_FEATURE_HISTORY/keys/recently_visited_products_new_badge?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    8481ms] [WARNING] The resource https://www.gstatic.com/_/mss/boq-cloud-client/_/js/md=1/k=boq-cloud-client.BillingMicroUi.en_US.yBXAjn5-rso.es6.O/ck=boq-cloud-client.BillingMicroUi.Jozr-0kW24Y.L.W.O/am=AAAAADgAACA/rs=AJ563L-OiynphsWVXAprUx8cpGldIZ4BRw was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://console.cloud.google.com/billing/linkedaccount?project=crypto-iris-485515-v4:0
[    8482ms] [WARNING] The resource https://www.gstatic.com/pantheon/images/shellgm2/icons-medium_v15.svg was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://console.cloud.google.com/billing/linkedaccount?project=crypto-iris-485515-v4:0
[    8482ms] [WARNING] The resource https://www.gstatic.com/pantheon/images/common/icons-medium_v163.svg was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://console.cloud.google.com/billing/linkedaccount?project=crypto-iris-485515-v4:0
[    8482ms] [WARNING] The resource https://www.gstatic.com/_/mss/boq-cloud-client/_/js/k=boq-cloud-client.BillingMicroUi.en_US.yBXAjn5-rso.es6.O/am=AAAAADgAACA/d=1/rs=AJ563L9gpzyeu2fqHfue1yZ3frsHpFObyg/m=b was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://console.cloud.google.com/billing/linkedaccount?project=crypto-iris-485515-v4:0
[    8482ms] [WARNING] The resource https://www.gstatic.com/_/mss/boq-cloud-client/_/js/k=boq-cloud-client.BillingMicroUi.en_US.yBXAjn5-rso.es6.O/ck=boq-cloud-client.BillingMicroUi.Jozr-0kW24Y.L.W.O/am=AAAAADgAACA/d=0/rs=AJ563L-OiynphsWVXAprUx8cpGldIZ4BRw/m=sy5b,sy5l,sy59,sy5c,sy5m,syaq,syat,sys,syt,sy5f,sy5a,sy5g,sy5j,syb,syu,sy1f,sy2g,sy1o,syam,sy6t,sy5d,syp,syr,syv,sy1n,sy23,sy1e,sy2e,sy2h,sy2i,syao,sy1p,sy5x,sy14,sy7w,sy9v,syar,syas,syau,sybb,sybc,syay,syic,syid,syie,syak,syhq,sy6u,sy5o,sy96,syf,syg,sy4k,sy4n,sy69,pm_confirm_dialog,sy35,sy37,sy56,sy5n,sy5t,sy62,syq,sy1m,sy28,sy3o,sy3q,syk,sy1s,sy2d,sy2f,sy7q,sydo,sydp,sy1q,sy1r,sy4,sy10,sy4i,sy7f,syan,sybd,sybe,sybf,sybk,sy15,sy6p,syib,syju,syjx,syb8,sy16,sy3g,sy3h,sy1z,sy20,sy5q,sy6n,sy6q,sy6r,sy6s,sy6v,sy6w,sy97,sy31,sy2r,syh,sy3a,sy4l,sy6a,sy6c,sya,sy33,sy36,sy38,sy55,sy57,sy5e,sy5p,sy5w,sy5z,sy63,sy1k,sy3n,syj,syl,syf7,sy2c,sy7r,sydn,sydq,sy6,sy2o,sybi,syap,syaz,syba,sybl,syjy,syzd,syze,sy3i,syhn,sy1y,sy6o,sy99,sy98,sy45,sy2s,sy2y,sy4o,sy6b,sy6d,sy6e,sy9,syd,sy32,sy39,sy3r,sy29,syn,sy12,sy58,sy5u,sy5y,sy60,sy61,sy64,sy65,sy66,sy67,sy1l,sy3p,sy8z,sybo,sym,syfg,syjk,sycc,sy2j,sydr,syz0,syz1,syz5,syz6,sy3j,syz8,syz9,syzf,syzh,syzj,sy22,sy21,sya2,sy95,syl8,sys5,sys7,syz4,syzc,sy4m,syc,sye,syi,sy1j,sy34,sy3s,sy41,sy42,sy44,sy47,sy4c,sy4d,sy4g,sy8j,sy5v,sy9a,syby,sybn,syfh,syjj,synb,MnIinb,syz2,syz3,syz7,syza,syzb,syzg,syzi,syzk,syzl,syzm,syzn,syzo,bAQdZ,sy11,sy13,syz,sy17,sy2l,syy,sy19,sy1a,sy2a,sy2u,sy2m,sy18,sy2b,sy2t,sy2w,sy2n,sy2p,sy2q,sy2v,sy30,sy2k,sy3b,sy2z,sy109,sy10a,sy10b,m8bLJf was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://console.cloud.google.com/billing/linkedaccount?project=crypto-iris-485515-v4:0
[   16817ms] [WARNING] The resource https://www.gstatic.com/_/mss/boq-cloud-client/_/js/md=1/k=boq-cloud-client.BillingMicroUi.en_US.yBXAjn5-rso.es6.O/ck=boq-cloud-client.BillingMicroUi.Jozr-0kW24Y.L.W.O/am=AAAAADgAACA/rs=AJ563L-OiynphsWVXAprUx8cpGldIZ4BRw was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://console.cloud.google.com/billing/linkedaccount?project=crypto-iris-485515-v4:0
